URL,Size(Bytes),# of OutLinks,Content Type
nytimes.com/2024/09/10/style/funeral-home-new-york-celebrities.html,476495,155,text/html
nytimes.com/2021/12/15/us/politics/trump-meadows-republicans-congress-jan-6.html,410127,147,text/html
nytimes.com/2017/08/28/us/politics/trump-police-military-surplus-equipment.html,281047,113,text/html
nytimes.com/2020/08/12/climate/kamala-harris-environmental-justice.html,291251,118,text/html
nytimes.com/interactive/2023/05/20/climate/rice-farming-climate-change.html,236256,120,text/html
nytimes.com/2024/09/18/us/haitian-americans-springfield-ohio-reaction.html,330110,117,text/html
nytimes.com/2019/02/22/health/trump-defunds-planned-parenthood.html,295237,118,text/html
nytimes.com/1948/10/23/archives/the-screen-in-review-the-red-shoes-a-british-film-about-the-ballet.html,242546,103,text/html
nytimes.com/interactive/2023/08/15/us/politics/trump-georgia-indictment-annotated.html,340178,220,text/html
nytimes.com/2024/06/13/us/politics/trump-corporate-tax-rate.html,341104,123,text/html
nytimes.com/2021/08/30/arts/television/review-only-murders-in-the-building.html,298161,130,text/html
nytimes.com/2024/10/03/arts/menendez-brothers-district-attorney-los-angeles.html,298926,119,text/html
nytimes.com/2024/07/26/us/politics/kamala-harris-gaza-biden.html,366428,119,text/html
nytimes.com/2024/09/30/us/politics/us-axis-china-iran-russia.html,351073,129,text/html
nytimes.com/article/tyre-nichols-memphis-police-dead.html,305738,110,text/html
nytimes.com/2018/06/06/us/politics/trump-alice-johnson-sentence-commuted-kim-kardashian-west.html,279458,117,text/html
nytimes.com/2024/10/03/arts/music/garth-brooks-rape-assault-lawsuit.html,280002,105,text/html
nytimes.com/2011/01/08/movies/08urban.html,281106,129,text/html
nytimes.com/2024/04/13/us/politics/trump-jan-6.html,395952,120,text/html
nytimes.com/2023/09/06/us/politics/enrique-tarrio-trump-jan-6.html,334278,122,text/html
nytimes.com/1967/03/07/archives/screen-ingmar-bergmans-persona-his-new-movie-opens-at-festival.html,227775,101,text/html
nytimes.com/2020/11/19/world/middleeast/pompeo-bds-golan-heights-west-bank.html,366237,126,text/html
nytimes.com/2017/11/03/us/politics/conservative-media-trump-clintons.html,311630,127,text/html
nytimes.com/2024/10/02/climate/legal-aid-lawyers-helene-storm.html,305572,114,text/html
nytimes.com/2018/06/01/us/politics/trump-war-powers-syria-congress.html,287239,119,text/html
nytimes.com/2024/09/25/us/politics/trump-nc-iran-economy.html,316009,109,text/html
nytimes.com/2016/10/21/us/politics/trump-apprentice-emmy.html,272814,115,text/html
nytimes.com/2024/09/21/style/emily-witt-encounter-health-and-safety.html,323335,125,text/html
nytimes.com/2019/03/15/us/politics/trump-veto-national-emergency.html,335532,116,text/html
nytimes.com/2024/09/26/climate/geoengineering-conspiracy-theorists-skeptics.html,370747,127,text/html
nytimes.com/2019/02/02/us/justin-fairfax-virginia.html,278643,114,text/html
nytimes.com/2024/05/23/us/politics/border-deal-senate-democrats.html,341734,118,text/html
nytimes.com/2019/07/02/movies/elaine-may-mikey-and-nicky.html,286604,130,text/html
nytimes.com/2021/09/14/us/politics/voting-rights-bill-democrats.html,282876,114,text/html
nytimes.com/2015/05/16/arts/television/bobs-burgers-after-five-seasons-remains-a-reliable-meal.html,266538,122,text/html
nytimes.com/2024/10/03/opinion/trump-vance-jan-6.html,297920,105,text/html
nytimes.com/2017/08/15/us/politics/trump-charlottesville-white-nationalists.html,312237,112,text/html
nytimes.com/2023/11/02/us/politics/officer-pleads-guilty-tyre-nichols-memphis.html,280358,115,text/html
nytimes.com/2019/02/11/us/kamala-harris-progressive-prosecutor.html,590539,126,text/html
nytimes.com/2015/04/16/opinion/president-vladimir-putins-dangerous-moves.html,256827,107,text/html
nytimes.com/2020/02/29/world/asia/us-taliban-deal.html,351105,123,text/html
nytimes.com/2024/10/03/us/politics/biden-oil-markets-middle-east.html,289600,112,text/html
nytimes.com/2015/08/21/arts/television/its-always-sunny-in-philadelphia-converts-a-skeptic.html,270344,125,text/html
nytimes.com/2024/09/14/us/politics/trump-tax-overtime-pay-cost.html,328064,121,text/html
nytimes.com/1991/03/13/movies/review-film-aching-to-be-a-prima-donna-when-you-re-a-man.html,268647,104,text/html
nytimes.com/2024/05/09/climate/trump-oil-gas-mar-a-lago.html,369367,126,text/html
nytimes.com/2024/09/23/climate/oceans-rivers-carbon-removal.html,427059,128,text/html
nytimes.com/2024/03/17/us/politics/trump-fox-interview-migrants.html,326876,120,text/html
nytimes.com/2019/02/07/arts/blackface-american-pop-culture.html,284619,106,text/html
nytimes.com/2017/12/01/us/politics/michael-flynn-guilty-russia-investigation.html,391258,120,text/html
nytimes.com/2020/07/15/climate/trump-environment-nepa.html,368974,122,text/html
nytimes.com/2024/09/14/style/airport-tray-aesthetic-tiktok-trend-tsa.html,351149,129,text/html
nytimes.com/2023/12/26/us/politics/trump-2025-trade-china.html,409108,147,text/html
nytimes.com/2018/11/05/technology/amazon-second-headquarters-split.html,290810,118,text/html
nytimes.com/2020/11/06/business/trump-administration-financial-regulations.html,338335,138,text/html
nytimes.com/2023/11/06/nyregion/eric-adams-brianna-suggs-fundraiser-fbi.html,329461,120,text/html
nytimes.com/2024/07/18/us/politics/trump-tips-taxes.html,293523,110,text/html
nytimes.com/2019/07/21/arts/television/veronica-mars-review.html,293666,129,text/html
nytimes.com/2024/10/03/climate/iowa-prairie-farming-environment.html,340696,116,text/html
nytimes.com/2022/05/31/climate/united-states-climate-ranking-trump.html,329036,121,text/html
nytimes.com/2024/02/29/world/europe/putin-speech-ukraine-nuclear-conflict.html,311132,126,text/html
nytimes.com/2024/02/27/briefing/inflation-trump-agenda.html,366275,161,text/html
